Date,Close/Last,Volume,Open,High,Low,Change
01/20/23,133.42,138858100.00,128.68,133.51,127.35,4.74
01/19/23,127.17,170291900.00,127.26,129.99,124.31,-0.09
01/18/23,128.78,195680300.00,136.56,136.68,127.01,-7.78
01/17/23,131.49,186477000.00,125.70,131.70,125.02,5.80
01/13/23,122.40,180714100.00,116.55,122.63,115.60,5.85
01/12/23,123.56,169400900.00,122.56,124.13,117.00,1.00
01/11/23,123.22,183810800.00,122.09,125.95,120.51,1.13
01/10/23,118.85,167642500.00,121.07,122.76,114.92,-2.22
01/09/23,119.77,190284000.00,118.96,123.52,117.11,0.81
01/06/23,113.06,220911100.00,103.00,114.39,101.81,10.06
01/05/23,110.34,157986300.00,110.51,111.75,107.16,-0.17
01/04/23,113.64,180389000.00,109.11,114.59,107.52,4.53
01/03/23,108.10,231402800.00,118.47,118.80,104.64,-10.37
12/30/22,123.18,157777300.00,119.95,124.48,119.75,3.23
12/29/22,121.82,221923300.00,120.39,123.57,117.50,1.43
12/28/22,112.71,221070500.00,110.35,116.27,108.24,2.36
12/27/22,109.10,208643400.00,117.50,119.67,108.76,-8.40
12/23/22,123.15,166989700.00,126.37,128.62,121.02,-3.22
12/22/22,125.35,210090300.00,136.00,136.63,122.26,-10.65
12/21/22,137.57,145417400.00,139.34,141.26,135.89,-1.77
12/20/22,137.80,159563300.00,146.05,148.47,137.66,-8.25
12/19/22,149.87,139390600.00,154.00,155.25,145.82,-4.13
12/16/22,150.23,139032200.00,159.64,160.99,150.04,-9.41
12/15/22,157.67,122334500.00,153.44,160.93,153.28,4.23
12/14/22,156.80,140682300.00,159.25,161.62,155.31,-2.45
12/13/22,160.95,175862700.00,174.87,175.05,156.91,-13.92
12/12/22,167.82,109794500.00,176.10,177.37,167.52,-8.28
12/09/22,179.05,104872300.00,173.84,182.50,173.36,5.21
12/08/22,173.44,97624490.00,172.20,175.20,169.06,1.24
12/07/22,174.04,84213280.00,175.03,179.38,172.22,-0.99
12/06/22,179.82,92150820.00,181.22,183.65,175.33,-1.40
12/05/22,182.45,93122670.00,189.44,191.27,180.55,-6.99
12/02/22,194.86,73645920.00,191.78,196.25,191.11,3.08
12/01/22,194.70,80046210.00,197.08,198.92,191.80,-2.38
11/30/22,194.70,109186400.00,182.43,194.76,180.63,12.27
11/29/22,180.83,83357110.00,184.99,186.38,178.75,-4.16
11/28/22,182.92,93038150.00,179.96,188.50,179.00,2.96
11/25/22,182.86,50672740.00,185.06,185.20,180.63,-2.20
11/23/22,183.20,109536700.00,173.57,183.62,172.50,9.63
11/22/22,169.91,78452330.00,168.63,170.92,166.19,1.28
